Revision,Author,Date,# Lines,Comment,File Changed
1491428,Thomas,"2015-07-13 16:12:14 +0100 (Mon, 13 Jul 2015)",1,"Use 15.2.30.x versioning scheme for branch",Changed paths: - M /cloud/personal/client-international/android/branches/android-15.2-solutions/version.properties
1491435,Thomas,"2015-07-13 16:17:26 +0100 (Mon, 13 Jul 2015)",1,"Correct url and tag name for branch tagging",Changed paths: - M /cloud/personal/client-international/android/branches/android-15.2-solutions/build.gradle
1491442,Thomas,"2015-07-13 16:22:25 +0100 (Mon, 13 Jul 2015)",1,"Removed Ril classes",Changed paths: - D /cloud/personal/client-international/android/branches/android-15.2-solutions/libs/ui/src/com/biscay/client/android/ui/nab/receiver/GoogleAccountsReceiver.java - D /cloud/personal/client-international/android/branches/android-15.2-solutions/libs/ui/src/com/biscay/client/android/ui/nab/receiver/JioBroadcastReceiver.java
1491445,Thomas,"2015-07-13 16:29:13 +0100 (Mon, 13 Jul 2015)",1,"Removed Ril classes",Changed paths: - M /cloud/personal/client-international/android/branches/android-15.2-solutions/libs/ui/src/com/biscay/client/android/ui/application/SyncDriveModule.java
1491802,Jimmy,"2015-07-14 12:25:40 +0100 (Tue, 14 Jul 2015)",1,"Authentication for locker",Changed paths: - M /cloud/personal/client-international/android/branches/android-15.2-solutions/libs/ui/src/com/biscay/client/android/ui/atp/AbstractAtpAuthActivity.java - M /cloud/personal/client-international/android/branches/android-15.2-solutions/libs/ui/src/com/biscay/client/android/ui/atp/AtpAuthActivity.java
1491856,Jimmy,"2015-07-14 13:42:45 +0100 (Tue, 14 Jul 2015)",1,"modified chsettings content provider for at&t",Changed paths: - M /cloud/personal/client-international/android/branches/android-15.2-solutions/clients/client-att/manifest/project-specific-metadata-components.txt
1491858,Jimmy,"2015-07-14 13:49:51 +0100 (Tue, 14 Jul 2015)",1,"Removed dead code",Changed paths: - M /cloud/personal/client-international/android/branches/android-15.2-solutions/libs/ui/src/com/biscay/client/android/ui/util/BaInstalledHelper.java - M /cloud/personal/client-international/android/branches/android-15.2-solutions/libs/ui/src/com/biscay/client/android/ui/util/FragmentAlbumHelper.java - M /cloud/personal/client-international/android/branches/android-15.2-solutions/libs/ui/src/com/biscay/client/android/ui/util/MenuInflaterWrapper.java - M /cloud/personal/client-international/android/branches/android-15.2-solutions/libs/ui/src/com/biscay/client/android/ui/util/ShareOptionsHelper.java - M /cloud/personal/client-international/android/branches/android-15.2-solutions/libs/ui/src/com/biscay/client/android/ui/util/SyncAllNowMenuHelper.java - M /cloud/personal/client-international/android/branches/android-15.2-solutions/libs/ui/src/com/biscay/client/android/ui/util/WifiAnalyser.java
1491866,Jimmy,"2015-07-14 14:06:22 +0100 (Tue, 14 Jul 2015)",1,"Partial code clean",Changed paths: - M /cloud/personal/client-international/android/branches/android-15.2-solutions/libs/ui/src/com/biscay/client/android/ui/p2p/AppRecommendationPopulator.java - M /cloud/personal/client-international/android/branches/android-15.2-solutions/libs/ui/src/com/biscay/client/android/ui/p2p/DataCollectionPopulator.java - M /cloud/personal/client-international/android/branches/android-15.2-solutions/libs/ui/src/com/biscay/client/android/ui/p2p/MCTNetworkService.java - M /cloud/personal/client-international/android/branches/android-15.2-solutions/libs/ui/src/com/biscay/client/android/ui/receiver/LogoutReceiver.java
1491875,Jimmy,"2015-07-14 14:18:59 +0100 (Tue, 14 Jul 2015)",1,"Partial code cleanup",Changed paths: - M /cloud/personal/client-international/android/branches/android-15.2-solutions/libs/ui/src/com/biscay/client/android/ui/p2p/utils/WifiApControl.java - M /cloud/personal/client-international/android/branches/android-15.2-solutions/libs/ui/src/com/biscay/client/android/ui/p2p/utils/WifiDirectUtils.java - M /cloud/personal/client-international/android/branches/android-15.2-solutions/libs/ui/src/com/biscay/client/android/ui/p2p/vouchers/MctVoucherEntryActivity.java - M /cloud/personal/client-international/android/branches/android-15.2-solutions/libs/ui/src/com/biscay/client/android/ui/p2p/vouchers/VoucherHandler.java - M /cloud/personal/client-international/android/branches/android-15.2-solutions/libs/ui/src/com/biscay/client/android/ui/p2p/xml/XmlApprecomendationParser.java
1491892,Jimmy,"2015-07-14 14:40:44 +0100 (Tue, 14 Jul 2015)",1,"Partial code cleanup",Changed paths: - M /cloud/personal/client-international/android/branches/android-15.2-solutions/libs/ui/src/com/biscay/client/android/ui/p2p/nsd/AbstractNsd.java - M /cloud/personal/client-international/android/branches/android-15.2-solutions/libs/ui/src/com/biscay/client/android/ui/p2p/nsd/NsdHelper.java - M /cloud/personal/client-international/android/branches/android-15.2-solutions/libs/ui/src/com/biscay/client/android/ui/p2p/nsd/NsdHelperMCT.java - M /cloud/personal/client-international/android/branches/android-15.2-solutions/libs/ui/src/com/biscay/client/android/ui/p2p/nsd/NsdSourceDevice.java - M /cloud/personal/client-international/android/branches/android-15.2-solutions/libs/ui/src/com/biscay/client/android/ui/p2p/nsd/WiFiP2pService.java
1491912,Jimmy,"2015-07-14 14:56:43 +0100 (Tue, 14 Jul 2015)",1,"Partial code cleanup",Changed paths: - M /cloud/personal/client-international/android/branches/android-15.2-solutions/libs/ui/src/com/biscay/client/android/ui/adapters/AbstractDescriptionItemAdapter.java - M /cloud/personal/client-international/android/branches/android-15.2-solutions/libs/ui/src/com/biscay/client/android/ui/adapters/CursorDescriptionItemAdapter.java - M /cloud/personal/client-international/android/branches/android-15.2-solutions/libs/ui/src/com/biscay/client/android/ui/p2p/activities/ATTOverviewTransferActivity.java - M /cloud/personal/client-international/android/branches/android-15.2-solutions/libs/ui/src/com/biscay/client/android/ui/p2p/activities/AutomaticWifiDirect.java - M /cloud/personal/client-international/android/branches/android-15.2-solutions/libs/ui/src/com/biscay/client/android/ui/p2p/activities/ContentTransferServerTransferActivity.java - M /cloud/personal/client-international/android/branches/android-15.2-solutions/libs/ui/src/com/biscay/client/android/ui/p2p/activities/MCTNsdQRCodeScanning.java - M /cloud/personal/client-international/android/branches/android-15.2-solutions/libs/ui/src/com/biscay/client/android/ui/p2p/activities/MCTQRCodeScanning.java - M /cloud/personal/client-international/android/branches/android-15.2-solutions/libs/ui/src/com/biscay/client/android/ui/p2p/activities/MctAbstractStartupActivity.java - M /cloud/personal/client-international/android/branches/android-15.2-solutions/libs/ui/src/com/biscay/client/android/ui/p2p/activities/QRCodeGenerator.java - M /cloud/personal/client-international/android/branches/android-15.2-solutions/libs/ui/src/com/biscay/client/android/ui/p2p/adapters/MctTutorAdapter.java
1492308,Jimmy,"2015-07-15 11:33:28 +0100 (Wed, 15 Jul 2015)",1,"Added boolean to upgrade",Changed paths: - M /cloud/personal/client-international/android/branches/android-15.2-solutions/clients/client-att/res/values/booleans.xml - M /cloud/personal/client-international/android/branches/android-15.2-solutions/libs/ui/src/com/biscay/client/android/ui/atp/AbstractAtpAuthActivity.java - M /cloud/personal/client-international/android/branches/android-15.2-solutions/libs/ui/src/com/biscay/client/android/ui/atp/AtpAuthActivity.java - M /cloud/personal/client-international/android/branches/android-15.2-solutions/libs/ui/src/com/biscay/client/android/ui/gui/fragments/StorageMeterFragment.java
1492330,Jimmy,"2015-07-15 11:55:03 +0100 (Wed, 15 Jul 2015)",1,"Plan management",Changed paths: - M /cloud/personal/client-international/android/branches/android-15.2-solutions/libs/ui/src/com/biscay/client/android/ui/gui/fragments/UpgradeFragment.java
1492395,Jimmy,"2015-07-15 13:30:01 +0100 (Wed, 15 Jul 2015)",1,"Code cleanup",Changed paths: - M /cloud/personal/client-international/android/branches/android-15.2-solutions/libs/ui/src/com/biscay/client/android/ui/homescreen/AlbumDataHolder.java - M /cloud/personal/client-international/android/branches/android-15.2-solutions/libs/ui/src/com/biscay/client/android/ui/homescreen/HomeScreenAdapter.java
1492399,Jimmy,"2015-07-15 13:42:17 +0100 (Wed, 15 Jul 2015)",1,"Prep for release",Changed paths: - M /cloud/personal/client-international/android/branches/android-15.2-solutions/version.properties
1492402,Jimmy,"2015-07-15 13:48:45 +0100 (Wed, 15 Jul 2015)",1,"Modified mail template",Changed paths: - M /cloud/personal/client-international/android/branches/android-15.2-solutions/clients/common/report/template.html
1492405,/OU=Domain Control Validated/CN=svn.company.net,"2015-07-15 13:49:47 +0100 (Wed, 15 Jul 2015)",1,"[gradle-release] prepare for next development iteration",Changed paths: - M /cloud/personal/client-international/android/branches/android-15.2-solutions/version.properties
1492409,Jimmy,"2015-07-15 13:55:46 +0100 (Wed, 15 Jul 2015)",1,"Added dev build variant",Changed paths: - A /cloud/personal/client-international/android/branches/android-15.2-solutions/clients/client-att/build-config/dev.properties (from /cloud/personal/client-international/android/branches/android-15.2-solutions/clients/client-att/build-config/prod.properties:1492330) - M /cloud/personal/client-international/android/branches/android-15.2-solutions/clients/client-att/build.gradle
1492414,Jimmy,"2015-07-15 14:04:56 +0100 (Wed, 15 Jul 2015)",1,"Revved",Changed paths: - M /cloud/personal/client-international/android/branches/android-15.2-solutions/version.properties
1492455,Jimmy,"2015-07-15 15:00:04 +0100 (Wed, 15 Jul 2015)",1,"Partial code cleanup",Changed paths: - M /cloud/personal/client-international/android/branches/android-15.2-solutions/libs/model/src/com/biscay/client/android/model/adapters/RamDescriptionContainerHandler.java - M /cloud/personal/client-international/android/branches/android-15.2-solutions/libs/model/src/com/biscay/client/android/model/adapters/helpers/ShareViewHolder.java - M /cloud/personal/client-international/android/branches/android-15.2-solutions/libs/model/src/com/biscay/client/android/model/adapters/helpers/ViewHolder.java
1492457,Jimmy,"2015-07-15 15:02:58 +0100 (Wed, 15 Jul 2015)",1,"Partial code cleanup",Changed paths: - M /cloud/personal/client-international/android/branches/android-15.2-solutions/libs/model/src/com/biscay/client/android/model/auth/AuthenticationUIControllerImpl.java
1492470,Jimmy,"2015-07-15 15:08:50 +0100 (Wed, 15 Jul 2015)",1,"Partial code cleanup",Changed paths: - M /cloud/personal/client-international/android/branches/android-15.2-solutions/libs/model/src/com/biscay/client/android/model/configuration/ApiConfigHelper.java - M /cloud/personal/client-international/android/branches/android-15.2-solutions/libs/model/src/com/biscay/client/android/model/configuration/ApiConfigManager.java
1492481,Alan,"2015-07-15 15:25:12 +0100 (Wed, 15 Jul 2015)",1,"Phone Locker changes for 15.2 Branch",Changed paths: - M /cloud/personal/client-international/android/branches/android-15.2-solutions/clients/client-att/build-config/prod.properties - A /cloud/personal/client-international/android/branches/android-15.2-solutions/clients/client-att/res/layout/restore_action.xml - A /cloud/personal/client-international/android/branches/android-15.2-solutions/clients/client-att/res/layout/restore_scanner.xml - M /cloud/personal/client-international/android/branches/android-15.2-solutions/clients/client-att/res/values/booleans.xml - A /cloud/personal/client-international/android/branches/android-15.2-solutions/clients/client-att/res/values/colors.xml - M /cloud/personal/client-international/android/branches/android-15.2-solutions/clients/client-att/res/values/strings.xml - M /cloud/personal/client-international/android/branches/android-15.2-solutions/libs/model/res/values/booleans.xml - M /cloud/personal/client-international/android/branches/android-15.2-solutions/libs/model/src/com/biscay/client/android/model/configuration/ApiConfigManager.java - M /cloud/personal/client-international/android/branches/android-15.2-solutions/libs/ui/src/com/biscay/client/android/ui/gui/fragments/RestoreActionFragment.java
1492513,/OU=Domain Control Validated/CN=svn.company.net,"2015-07-15 15:46:38 +0100 (Wed, 15 Jul 2015)",1,"[gradle-release] prepare for next development iteration",Changed paths: - M /cloud/personal/client-international/android/branches/android-15.2-solutions/version.properties
1492955,Alan,"2015-07-16 11:48:20 +0100 (Thu, 16 Jul 2015)",2,"PHONE-351Phone 2.0 - Home Screen redsign is OFF",Changed paths: - M /cloud/personal/client-international/android/branches/android-15.2-solutions/clients/client-att/build-config/dev.properties
1492956,Alan,"2015-07-16 11:51:46 +0100 (Thu, 16 Jul 2015)",2,"PHONE-349Phone 2.0 - "Invitations and Referrals" tool is available.",Changed paths: - M /cloud/personal/client-international/android/branches/android-15.2-solutions/clients/client-att/res/values/booleans.xml - M /cloud/personal/client-international/android/branches/android-15.2-solutions/libs/model/res/values/booleans.xml - M /cloud/personal/client-international/android/branches/android-15.2-solutions/libs/ui/src/com/biscay/client/android/ui/gui/fragments/ToolsFragment.java
1493028,Jimmy,"2015-07-16 13:41:50 +0100 (Thu, 16 Jul 2015)",1,"PHONE-348",Changed paths: - A /cloud/personal/client-international/android/branches/android-15.2-solutions/clients/client-att/res/layout/wizard_activity.xml (from /cloud/personal/client-international/android/branches/android-15.2-solutions/libs/ui/res/layout/wizard_activity.xml:1492858) - M /cloud/personal/client-international/android/branches/android-15.2-solutions/clients/client-att/res/values/strings.xml - A /cloud/personal/client-international/android/branches/android-15.2-solutions/libs/ui/res/drawable-hdpi/splash_title.png (from /cloud/personal/client-international/android/branches/android-15.2-solutions/libs/ui/res/drawable-hdpi/splash_logo.png:1492858) - M /cloud/personal/client-international/android/branches/android-15.2-solutions/libs/ui/res/values/strings.xml - M /cloud/personal/client-international/android/branches/android-15.2-solutions/libs/ui/res/values-es/strings.xml - M /cloud/personal/client-international/android/branches/android-15.2-solutions/libs/ui/src/com/biscay/client/android/ui/gui/activities/WizardActivity.java
1493036,Jimmy,"2015-07-16 13:51:17 +0100 (Thu, 16 Jul 2015)",1,"PHONE-348",Changed paths: - M /cloud/personal/client-international/android/branches/android-15.2-solutions/clients/client-att/res/values/strings.xml - M /cloud/personal/client-international/android/branches/android-15.2-solutions/libs/ui/res/layout/wizard_activity.xml - M /cloud/personal/client-international/android/branches/android-15.2-solutions/libs/ui/src/com/biscay/client/android/ui/gui/activities/WizardActivity.java
1493044,Jimmy,"2015-07-16 14:02:49 +0100 (Thu, 16 Jul 2015)",1,"PHONE-348",Changed paths: - M /cloud/personal/client-international/android/branches/android-15.2-solutions/libs/model/lint.xml - M /cloud/personal/client-international/android/branches/android-15.2-solutions/libs/ui/res/layout/wizard_activity.xml
1493067,Alan,"2015-07-16 14:37:37 +0100 (Thu, 16 Jul 2015)",2,"PHONE-350Phone 2.0 - "Report Abusive Content" is available.",Changed paths: - M /cloud/personal/client-international/android/branches/android-15.2-solutions/clients/client-att/res/values/booleans.xml - M /cloud/personal/client-international/android/branches/android-15.2-solutions/clients/client-att/res/values/strings.xml - M /cloud/personal/client-international/android/branches/android-15.2-solutions/libs/model/res/values/booleans.xml - M /cloud/personal/client-international/android/branches/android-15.2-solutions/libs/ui/src/com/biscay/client/android/ui/gui/activities/PictureViewActivity.java - M /cloud/personal/client-international/android/branches/android-15.2-solutions/libs/ui/src/com/biscay/client/android/ui/gui/activities/VideoViewActivity.java
1493081,Jimmy,"2015-07-16 14:47:09 +0100 (Thu, 16 Jul 2015)",1,"PHONE-354",Changed paths: - M /cloud/personal/client-international/android/branches/android-15.2-solutions/clients/client-att/res/values/strings.xml
1493202,Thomas,"2015-07-16 16:48:08 +0100 (Thu, 16 Jul 2015)",1,"Removed translatable flag",Changed paths: - M /cloud/personal/client-international/android/branches/android-15.2-solutions/libs/ui/res/values-es/strings.xml
1493269,Nicky,"2015-07-16 19:32:25 +0100 (Thu, 16 Jul 2015)",2,"PHONE-360Phone 2.0 - Device is not uploading or downloading.",Changed paths: - M /cloud/personal/client-international/android/branches/android-15.2-solutions/build.gradle
1493381,Thomas,"2015-07-17 08:39:34 +0100 (Fri, 17 Jul 2015)",1,"Fixed release build.",Changed paths: - M /cloud/personal/client-international/android/branches/android-15.2-solutions/clients/client-att/res/layout/wizard_activity.xml
1493417,Jimmy,"2015-07-17 10:14:16 +0100 (Fri, 17 Jul 2015)",1,"Added configuration for intro screen",Changed paths: - M /cloud/personal/client-international/android/branches/android-15.2-solutions/clients/common/mvn-config/res/values/environment.xml - M /cloud/personal/client-international/android/branches/android-15.2-solutions/clients/mct/build-config/prod.properties - M /cloud/personal/client-international/android/branches/android-15.2-solutions/clients/mct/build-config/prod_lowbandwidth.properties - M /cloud/personal/client-international/android/branches/android-15.2-solutions/clients/mct/build-config/qa.properties - M /cloud/personal/client-international/android/branches/android-15.2-solutions/clients/mct/build-config/qa_lowbandwidth.properties - M /cloud/personal/client-international/android/branches/android-15.2-solutions/clients/mct/build-config/voucher.properties - M /cloud/personal/client-international/android/branches/android-15.2-solutions/clients/mct-att/build-config/dev.properties - M /cloud/personal/client-international/android/branches/android-15.2-solutions/clients/mct-att/build-config/prod.properties - M /cloud/personal/client-international/android/branches/android-15.2-solutions/clients/mct-att/build-config/qa.properties - M /cloud/personal/client-international/android/branches/android-15.2-solutions/clients/client/build-config/dev.properties - M /cloud/personal/client-international/android/branches/android-15.2-solutions/clients/client/build-config/prod.properties - M /cloud/personal/client-international/android/branches/android-15.2-solutions/clients/client/build-config/prod_homescreen.properties - M /cloud/personal/client-international/android/branches/android-15.2-solutions/clients/client/build-config/prod_homescreensettings.properties - M /cloud/personal/client-international/android/branches/android-15.2-solutions/clients/client/build-config/prod_integrated.properties - M /cloud/personal/client-international/android/branches/android-15.2-solutions/clients/client/build-config/qa.properties - M /cloud/personal/client-international/android/branches/android-15.2-solutions/clients/client/build-config/qa_homescreen.properties - M /cloud/personal/client-international/android/branches/android-15.2-solutions/clients/client/build-config/qa_homescreensettings.properties - M /cloud/personal/client-international/android/branches/android-15.2-solutions/clients/client/build-config/qa_integrated.properties - M /cloud/personal/client-international/android/branches/android-15.2-solutions/clients/client-att/build-config/dev.properties - M /cloud/personal/client-international/android/branches/android-15.2-solutions/clients/client-att/build-config/prod.properties - M /cloud/personal/client-international/android/branches/android-15.2-solutions/libs/ui/res/values/configurations.xml - M /cloud/personal/client-international/android/branches/android-15.2-solutions/libs/ui/src/com/biscay/client/android/ui/gui/activities/WizardActivity.java
1493503,/OU=Domain Control Validated/CN=svn.company.net,"2015-07-17 11:58:34 +0100 (Fri, 17 Jul 2015)",1,"[gradle-release] prepare for next development iteration",Changed paths: - M /cloud/personal/client-international/android/branches/android-15.2-solutions/version.properties
1493562,Jimmy,"2015-07-17 13:27:38 +0100 (Fri, 17 Jul 2015)",1,"Added migration class and tests",Changed paths: - A /cloud/personal/client-international/android/branches/android-15.2-solutions/libs/model/src/com/biscay/client/android/model/migration - A /cloud/personal/client-international/android/branches/android-15.2-solutions/libs/model/src/com/biscay/client/android/model/migration/MigrationInfo.java - A /cloud/personal/client-international/android/branches/android-15.2-solutions/libs/model/test/com/biscay/client/android/model/migration - A /cloud/personal/client-international/android/branches/android-15.2-solutions/libs/model/test/com/biscay/client/android/model/migration/TestMigration.java
1493563,Jimmy,"2015-07-17 13:28:41 +0100 (Fri, 17 Jul 2015)",1,"Added migration class and tests",Changed paths: - M /cloud/personal/client-international/android/branches/android-15.2-solutions/libs/model/src/com/biscay/client/android/model/migration/MigrationInfo.java
1493569,Jimmy,"2015-07-17 13:49:52 +0100 (Fri, 17 Jul 2015)",1,"Updated migration classes",Changed paths: - M /cloud/personal/client-international/android/branches/android-15.2-solutions/libs/model/src/com/biscay/client/android/model/migration/MigrationInfo.java - M /cloud/personal/client-international/android/branches/android-15.2-solutions/libs/model/test/com/biscay/client/android/model/migration/TestMigration.java
1493570,Jimmy,"2015-07-17 13:54:22 +0100 (Fri, 17 Jul 2015)",1,"Modified test case",Changed paths: - M /cloud/personal/client-international/android/branches/android-15.2-solutions/libs/model/test/com/biscay/client/android/model/migration/TestMigration.java
